family,pnums,file,title,chars,size
AI编排/Agent能力,,AI Output Quality Feedback Loop.docx,AI 生成后质量回流：生成内容检查、设定冲突检测、是否可保存为资产 / 关系 / 章节任务 v1.0,51205,46529
AI编排/Agent能力,,AI Suggested Assets and Relations Save Process (1).docx,AI suggested_assets / suggested_relations 保存回资产库与关系图谱代码骨架 v1.0,27352,29002
AI编排/Agent能力,,AI Suggested Assets and Relations Save Process.docx,AI suggested_assets / suggested_relations 保存回资产库与关系图谱代码骨架 v1.0,27352,29003
AI编排/Agent能力,,AI 编排服务工程实现拆分 v1.1.docx,AI 编排服务工程实现拆分 v1.1,33920,35810
AI编排/Agent能力,,AI 编排服务文档.docx,AI 编排服务实现任务拆分 v1.0,25410,32598
AI编排/Agent能力,,AI 编排模块骨架草案.docx,AI 编排代码骨架草案 v1.0,44250,42653
AI编排/Agent能力,,Agent Deliberation System.docx,Agent Deliberation 多 Agent 决策会议：当修复、A/B、读者模拟、工作流推进存在冲突时，如何组织多 Agent 辩论、投票、裁决与人工确认 v1.0,59675,56484
AI编排/Agent能力,,Agent Reputation and Strategy Calibration System.docx,Agent 信誉分与策略校准：根据真实执行效果动态调整 Prompt Agent / Repair Agent / A/B Agent / Reader Agent / Workflow Agent 的权重、置信度与调用优先级 v1.0,60262,57006
AI编排/Agent能力,,Agent 策略 A-B 与元学习文档.docx,Agent 策略 A/B 与元学习：不仅测试正文版本，也测试 Agent 策略版本，让系统自动发现哪种 Agent 工作流更有效 v1.0,53773,40340
创作业务子系统,,Cognitive Route Design.docx,全书认知路线图：reader_knowledge_state → reveal_schedule → misdirection_plan → truth_ladder v1.0,52616,47167
创作业务子系统,,Cognitive War Simulator.docx,认知战模拟器：作者 / 读者 / 主角 / 反派 / 配角的信息权限差异与预测模型 v1.0,49486,46457
创作业务子系统,,Creation Workflow Console.docx,全链路创作操作台：从 story_arc 到投放包、试写、A/B、读者模拟、真实反馈、修复迭代的统一工作流总控 v1.0,50908,46056
联邦治理/商业信任扩展,"P1-24,P1-23",Federated Governance Intelligence.docx,P1-24：Federated Governance Intelligence,83149,42373
联邦治理/商业信任扩展,"P1-33,P1-32",Federation Governance Accountability & Ownership.docx,P1-33：Federation Governance Accountability & Ownership,75772,49260
联邦治理/商业信任扩展,"P1-29,P1-28",Federation Governance Benchmark & Evaluation.docx,P1-29：Federation Governance Benchmark & Evaluation,67390,47818
联邦治理/商业信任扩展,"P1-48,P1-46",Federation Governance Commercial Model Observability.docx,P1-48：Federation Governance Commercial Model Observability,67098,39844
联邦治理/商业信任扩展,"P1-80,P1-79",Federation Governance Commercial Model Trust Knowledge Governance Calibration Outcome Monitor.docx,P1-80：Federation Governance Commercial Model Trust Knowledge Governance Calibration Outcome Monitor,80753,41475
AI编排/Agent能力,"P1-68,P1-67",Federation Governance Commercial Model Trust Knowledge Retrieval & Agent Injection Center.docx,P1-68：Federation Governance Commercial Model Trust Knowledge Retrieval & Agent Injection Center,74714,40335
联邦治理/商业信任扩展,"P1-58,P1-57",Federation Governance Commercial Model Trust Strategy Outcome Tracker.docx,P1-58：Federation Governance Commercial Model Trust Strategy Outcome Tracker,59762,32600
联邦治理/商业信任扩展,"P1-35,P1-34",Federation Governance External Auditor Portal.docx,P1-35：Federation Governance External Auditor Portal,62223,40684
联邦治理/商业信任扩展,"P1-26,P1-25",Federation Governance Knowledge Base.docx,P1-26：Federation Governance Knowledge Base,72633,37481
联邦治理/商业信任扩展,"P1-28,P1-27",Federation Governance Learning Loop.docx,P1-28：Federation Governance Learning Loop,75020,50499
联邦治理/商业信任扩展,"P1-27,P1-26",Federation Governance Memory Retrieval.docx,P1-27：Federation Governance Memory Retrieval,60630,44076
联邦治理/商业信任扩展,"P1-32,P1-31",Federation Governance Operating Rhythm.docx,P1-32：Federation Governance Operating Rhythm,70857,44996
联邦治理/商业信任扩展,"P1-30,P1-29",Federation Governance Optimization Advisor.docx,P1-30：Federation Governance Optimization Advisor,62618,44350
联邦治理/商业信任扩展,"P1-36,P1-35",Federation Governance Trust Center.docx,P1-36：Federation Governance Trust Center,48063,36465
联邦治理/商业信任扩展,"P1-15,P1-14",Governance Alert Center.docx,P1-15：Governance Alert Center 治理告警中心,64496,47422
联邦治理/商业信任扩展,"P1-21,P1-16,P1-20",Governance CI Pipeline.docx,P1-21：Governance CI Pipeline,73569,52541
联邦治理/商业信任扩展,"P1-14,P1-13",Governance Dashboard & Risk Report.docx,P1-14：Governance Dashboard & Risk Report,51678,39309
联邦治理/商业信任扩展,"P1-22,P1-21",Governance Environment & Release Channels.docx,P1-22：Governance Environment & Release Channels,95421,60364
联邦治理/商业信任扩展,"P1-13,P1-11",Governance Event Ledger.docx,P1-13：Governance Event Ledger 治理事件总账,50544,31987
联邦治理/商业信任扩展,"P1-20,P1-19",Governance Policy Test Suite.docx,P1-20：Governance Policy Test Suite,74174,51785
